Epoch,Train_accuracy,Train_f1,Train_precision,Train_recall,Train_roc_auc,Val_accuracy,Val_f1,Val_precision,Val_recall,Val_roc_auc
1,0.6867088607594937,0.8121442125237192,0.6993464052287581,0.9683257918552036,0.5549416527744703,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.46285714285714286
2,0.6708860759493671,0.7992277992277993,0.696969696969697,0.9366515837104072,0.4722552988806859,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.4914285714285715
3,0.6930379746835443,0.8186915887850468,0.697452229299363,0.9909502262443439,0.530316742081448,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.5171428571428572
4,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.4450107168373423,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.4342857142857143
5,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.5271731364610621,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.27714285714285714
6,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.4911645629911884,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.44285714285714284
7,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.475922838771136,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.3657142857142857
8,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.48563943796141945,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.47142857142857136
9,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.5043581805191713,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.5742857142857143
10,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.5089783281733746,0.6410256410256411,0.7812500000000001,0.6410256410256411,1.0,0.46285714285714286
